Name,Surname,Height(inches),Height(feet)
Ike,Anigbogu,,
Ike,Anigbogu,,
Ron,Baker,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Billy,Preston,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Billy,Preston,,
Zhou,Qi,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Billy,Preston,,
Zhou,Qi,,
Zach,Randolph,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Billy,Preston,,
Zhou,Qi,,
Zach,Randolph,,
DJ,Stephens,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Billy,Preston,,
Zhou,Qi,,
Zach,Randolph,,
DJ,Stephens,,
Milos,Teodosic,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Billy,Preston,,
Zhou,Qi,,
Zach,Randolph,,
DJ,Stephens,,
Milos,Teodosic,,
Gary,Trent Jr.,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Billy,Preston,,
Zhou,Qi,,
Zach,Randolph,,
DJ,Stephens,,
Milos,Teodosic,,
Gary,Trent Jr.,,
Michael,Smith,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Billy,Preston,,
Zhou,Qi,,
Zach,Randolph,,
DJ,Stephens,,
Milos,Teodosic,,
Gary,Trent Jr.,,
Michael,Smith,,
John,Morton,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Billy,Preston,,
Zhou,Qi,,
Zach,Randolph,,
DJ,Stephens,,
Milos,Teodosic,,
Gary,Trent Jr.,,
Michael,Smith,,
John,Morton,,
Howard,Wright,,
Ike,Anigbogu,,
Ron,Baker,,
Jabari,Bird,,
MarShon,Brooks,,
Lorenzo,Brown,,
Omri,Casspi,,
Alex,Abrines,6,6
Tyler,Davis,,
Keenan,Evans,,
Marcin,Gortat,,
Andrew,Bogut,,
Amir,Johnson,9,6
Malachi,Richardson,,
Zach,Lofton,,
Kosta,Koufos,0,7
Billy,Preston,,
Zhou,Qi,,
Zach,Randolph,,
DJ,Stephens,,
Milos,Teodosic,,
Gary,Trent Jr.,,
Michael,Smith,,
John,Morton,,
Howard,Wright,,
Michael,Ansley,,
